capture	prim	flag	wrong	ceiling_gold	ceiling_gold_label	ceiling_gold_any	ceiling_gold_gt2	ceiling_cons	cons_vs_gold	cons_vs_gold_plain	falsifier_hit	falsifier_hit_dil	label	fp-alpha	fp-rgb	shared	aa-path	other	fp-alpha_d2	fp-rgb_d2	shared_d2	aa-path_d2	other_d2	aa_edge	aa_interior	aa_darker	aa_brighter	shared_edge	out_moved	out_moved_gt2	out_if_transparent	out_still_gt2	fp_hit
Lines-ls	Lines	-ls	2332	2332	150	2332	2332	2332	0	0	0	0	0	8	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
Lines-ps	Lines	-ps	605	0	168	0	0	0	0	0	0	0	0	0	0	592	1	12	0	0	26	0	12	0	1	0	0	361	80	68	700	499	0
Lines-ls-ps	Lines	-ls-ps	2332	2332	318	2332	2332	2332	0	0	0	0	0	8	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
Lines-inlinearrays-ls	Lines	-ls	2332	2332	150	2332	2332	2332	0	0	0	0	0	7	2325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
Lines-inlinearrays-ps	Lines	-ps	605	0	168	0	0	0	0	0	0	0	0	0	0	592	1	12	0	0	26	0	12	0	1	0	0	361	80	68	700	499	0
Lines-inlinearrays-ls-ps	Lines	-ls-ps	2332	2332	318	2332	2332	2332	0	0	0	0	0	8	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
Lines-inlinebuf-ls	Lines	-ls	2332	2332	150	2332	2332	2332	0	0	0	0	0	8	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
Lines-inlinebuf-ps	Lines	-ps	605	0	168	0	0	0	0	0	0	0	0	0	0	592	1	12	0	0	26	0	12	0	1	0	0	361	80	68	700	499	0
Lines-inlinebuf-ls-ps	Lines	-ls-ps	2332	2332	318	2332	2332	2332	0	0	0	0	0	8	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
Lines-inlineelements-ls	Lines	-ls	2332	2332	150	2332	2332	2332	0	0	0	0	0	8	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
Lines-inlineelements-ps	Lines	-ps	605	0	168	0	0	0	0	0	0	0	0	0	0	592	1	12	0	0	26	0	12	0	1	0	0	361	80	68	700	499	0
Lines-inlineelements-ls-ps	Lines	-ls-ps	2332	2332	318	2332	2332	2332	0	0	0	0	0	8	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332
LineLoop-ls	LineLoop	-ls	4548	4554	150	4643	4546	4554	0	0	0	0	0	26	4522	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4547
