suite,file,golden,golden_px,golden_max,calib,calib_px,hakux_px,hakux_max
2D_Lines,2DLine-15-C000003E0-400_200-400_400.png,identical,,,identical,,200,255
2D_Lines,2DLine-16-C000007E0-400_200-400_400.png,identical,,,identical,,200,255
2D_Lines,2DLine-24-C00000000-400_200-400_400.png,identical,,,identical,,200,68
2D_Lines,2DLine-24-C0000FF00-400_200-400_400.png,identical,,,identical,,200,255
2D_Lines,2DLine-24-C0000FF00-444_222-444_444.png,identical,,,identical,,222,255
2D_Lines,2DLine-24-C00FF0000-400_200-400_400.png,identical,,,identical,,200,187
2D_Lines,2DLine-24-C00FFFFFF-0_0-639_479.png,identical,,,identical,,627,255
2D_Lines,2DLine-24-C00FFFFFF-222_222-222_222.png,identical,,,identical,,0,0
2D_Lines,2DLine-24-C00FFFFFF-400_0-400_479.png,identical,,,identical,,479,255
2D_Lines,2DLine-24-C00FFFFFF-400_300-400_301.png,identical,,,identical,,1,255
2D_Lines,2DLine-24-C00FFFFFF-400_300-401_300.png,identical,,,identical,,1,255
2D_Lines,2DLine-24-C00FFFFFF-639_479-0_0.png,identical,,,identical,,627,255
2D_Lines,2DLine-24-CFFFFFFFF-100_100-100_400.png,identical,,,identical,,300,255
3D_primitive,LineLoop-inlinearrays-ls-ps.png,identical,,,identical,,4678,193
3D_primitive,LineLoop-inlinearrays-ls.png,differs,4546,100,identical,,4678,241
3D_primitive,LineLoop-inlinearrays-ps.png,identical,,,identical,,1215,255
3D_primitive,LineLoop-inlinearrays.png,identical,,,identical,,1418,255
3D_primitive,LineLoop-inlinebuf-ls-ps.png,identical,,,identical,,4678,193
3D_primitive,LineLoop-inlinebuf-ls.png,identical,,,identical,,4678,224
3D_primitive,LineLoop-inlinebuf-ps.png,identical,,,identical,,1215,255
3D_primitive,LineLoop-inlinebuf.png,identical,,,identical,,1418,255
3D_primitive,LineLoop-inlineelements-ls-ps.png,identical,,,identical,,4678,193
3D_primitive,LineLoop-inlineelements-ls.png,identical,,,identical,,4678,224
3D_primitive,LineLoop-inlineelements-ps.png,identical,,,identical,,1215,255
3D_primitive,LineLoop-inlineelements.png,identical,,,identical,,1418,255
3D_primitive,LineLoop-ls-ps.png,identical,,,identical,,4678,224
3D_primitive,LineLoop-ls.png,identical,,,identical,,4678,234
3D_primitive,LineLoop-ps.png,identical,,,identical,,1215,255
3D_primitive,LineLoop.png,identical,,,identical,,1418,255
3D_primitive,LineStrip-inlinearrays-ls-ps.png,identical,,,identical,,4120,193
3D_primitive,LineStrip-inlinearrays-ls.png,identical,,,identical,,4120,193
3D_primitive,LineStrip-inlinearrays-ps.png,identical,,,identical,,1052,255
3D_primitive,LineStrip-inlinearrays.png,identical,,,identical,,1228,255
3D_primitive,LineStrip-inlinebuf-ls-ps.png,identical,,,identical,,4120,193
3D_primitive,LineStrip-inlinebuf-ls.png,identical,,,identical,,4120,224
3D_primitive,LineStrip-inlinebuf-ps.png,identical,,,identical,,1052,255
3D_primitive,LineStrip-inlinebuf.png,identical,,,identical,,1228,255
3D_primitive,LineStrip-inlineelements-ls-ps.png,identical,,,identical,,4120,193
3D_primitive,LineStrip-inlineelements-ls.png,identical,,,identical,,4120,224
3D_primitive,LineStrip-inlineelements-ps.png,identical,,,identical,,1052,255
3D_primitive,LineStrip-inlineelements.png,identical,,,identical,,1228,255
3D_primitive,LineStrip-ls-ps.png,identical,,,identical,,4120,224
3D_primitive,LineStrip-ls.png,identical,,,identical,,4120,234
3D_primitive,LineStrip-ps.png,identical,,,identical,,1052,255
3D_primitive,LineStrip.png,identical,,,identical,,1228,255
3D_primitive,Lines-inlinearrays-ls-ps.png,identical,,,identical,,2332,185
3D_primitive,Lines-inlinearrays-ls.png,identical,,,identical,,2332,185
3D_primitive,Lines-inlinearrays-ps.png,identical,,,identical,,671,207
3D_primitive,Lines-inlinearrays.png,identical,,,identical,,795,255
3D_primitive,Lines-inlinebuf-ls-ps.png,identical,,,identical,,2332,185
3D_primitive,Lines-inlinebuf-ls.png,identical,,,identical,,2332,224
3D_primitive,Lines-inlinebuf-ps.png,identical,,,identical,,671,207
3D_primitive,Lines-inlinebuf.png,identical,,,identical,,795,255
3D_primitive,Lines-inlineelements-ls-ps.png,identical,,,identical,,2332,185
3D_primitive,Lines-inlineelements-ls.png,identical,,,identical,,2332,224
3D_primitive,Lines-inlineelements-ps.png,identical,,,identical,,671,207
3D_primitive,Lines-inlineelements.png,identical,,,identical,,795,255
3D_primitive,Lines-ls-ps.png,identical,,,identical,,2332,224
3D_primitive,Lines-ls.png,identical,,,identical,,2332,234
3D_primitive,Lines-ps.png,identical,,,identical,,671,207
3D_primitive,Lines.png,identical,,,identical,,795,255
3D_primitive,Points-inlinearrays-ls-ps.png,identical,,,identical,,7,207
3D_primitive,Points-inlinearrays-ls.png,identical,,,identical,,7,207
3D_primitive,Points-inlinearrays-ps.png,identical,,,identical,,7,207
3D_primitive,Points-inlinearrays.png,identical,,,identical,,0,0
3D_primitive,Points-inlinebuf-ls-ps.png,identical,,,identical,,7,207
3D_primitive,Points-inlinebuf-ls.png,identical,,,identical,,7,207
3D_primitive,Points-inlinebuf-ps.png,identical,,,identical,,7,207
3D_primitive,Points-inlinebuf.png,identical,,,identical,,0,0
3D_primitive,Points-inlineelements-ls-ps.png,identical,,,identical,,7,207
3D_primitive,Points-inlineelements-ls.png,identical,,,identical,,7,207
3D_primitive,Points-inlineelements-ps.png,identical,,,identical,,7,207
3D_primitive,Points-inlineelements.png,identical,,,identical,,0,0
3D_primitive,Points-ls-ps.png,identical,,,identical,,7,207
3D_primitive,Points-ls.png,identical,,,identical,,7,207
3D_primitive,Points-ps.png,identical,,,identical,,7,207
3D_primitive,Points.png,identical,,,identical,,0,0
3D_primitive,Polygon-inlinearrays-ls-ps.png,identical,,,identical,,39780,144
3D_primitive,Polygon-inlinearrays-ls.png,identical,,,identical,,39065,181
3D_primitive,Polygon-inlinearrays-ps.png,identical,,,identical,,39780,144
3D_primitive,Polygon-inlinearrays.png,identical,,,identical,,35644,1
3D_primitive,Polygon-inlinebuf-ls-ps.png,identical,,,identical,,39780,156
3D_primitive,Polygon-inlinebuf-ls.png,identical,,,identical,,39065,181
3D_primitive,Polygon-inlinebuf-ps.png,identical,,,identical,,39780,144
3D_primitive,Polygon-inlinebuf.png,identical,,,identical,,35644,1
3D_primitive,Polygon-inlineelements-ls-ps.png,identical,,,identical,,39780,156
3D_primitive,Polygon-inlineelements-ls.png,identical,,,identical,,39065,181
3D_primitive,Polygon-inlineelements-ps.png,identical,,,identical,,39780,144
3D_primitive,Polygon-inlineelements.png,identical,,,identical,,35644,1
3D_primitive,Polygon-ls-ps.png,identical,,,identical,,39780,158
3D_primitive,Polygon-ls.png,identical,,,identical,,39065,181
3D_primitive,Polygon-ps.png,identical,,,identical,,39780,156
3D_primitive,Polygon.png,identical,,,identical,,35644,1
3D_primitive,QuadStrip-inlinearrays-ls-ps.png,identical,,,identical,,73579,159
3D_primitive,QuadStrip-inlinearrays-ls.png,identical,,,identical,,72989,206
3D_primitive,QuadStrip-inlinearrays-ps.png,identical,,,identical,,73579,159
3D_primitive,QuadStrip-inlinearrays.png,identical,,,identical,,69158,2
3D_primitive,QuadStrip-inlinebuf-ls-ps.png,identical,,,identical,,73579,176
3D_primitive,QuadStrip-inlinebuf-ls.png,identical,,,identical,,72989,206
3D_primitive,QuadStrip-inlinebuf-ps.png,identical,,,identical,,73579,159
3D_primitive,QuadStrip-inlinebuf.png,identical,,,identical,,69158,2
3D_primitive,QuadStrip-inlineelements-ls-ps.png,identical,,,identical,,73579,176
3D_primitive,QuadStrip-inlineelements-ls.png,identical,,,identical,,72989,206
3D_primitive,QuadStrip-inlineelements-ps.png,identical,,,identical,,73579,159
3D_primitive,QuadStrip-inlineelements.png,identical,,,identical,,69158,2
3D_primitive,QuadStrip-ls-ps.png,identical,,,identical,,73579,178
3D_primitive,QuadStrip-ls.png,identical,,,identical,,72989,206
3D_primitive,QuadStrip-ps.png,identical,,,identical,,73579,176
3D_primitive,QuadStrip.png,identical,,,identical,,69158,2
3D_primitive,Quads-inlinearrays-ls-ps.png,identical,,,identical,,15981,165
3D_primitive,Quads-inlinearrays-ls.png,identical,,,identical,,14858,207
3D_primitive,Quads-inlinearrays-ps.png,identical,,,identical,,15981,165
3D_primitive,Quads-inlinearrays.png,identical,,,identical,,20499,2
3D_primitive,Quads-inlinebuf-ls-ps.png,identical,,,identical,,15981,180
3D_primitive,Quads-inlinebuf-ls.png,identical,,,identical,,14858,207
3D_primitive,Quads-inlinebuf-ps.png,identical,,,identical,,15981,165
3D_primitive,Quads-inlinebuf.png,identical,,,identical,,20499,2
3D_primitive,Quads-inlineelements-ls-ps.png,identical,,,identical,,15981,180
3D_primitive,Quads-inlineelements-ls.png,identical,,,identical,,14858,207
