capture                    fmt | 0-a-now-8e683b3a26-023-Depth_buffer_fi | z-c866527e03-023-Depth_buffer_fixed_fu | 1790359589-xbox-full6743-dry2-2802408 
                               |      now    after    chg    ->g   away |      now    after    chg    ->g   away |      now    after    chg    ->g   away
z16_Cn_FZn_M000003             |        3        3      0      0      0 |        3        3      0      0      0 |        3        3      0      0      0
z16_Cn_FZn_M000003_ZB          |        0        0      0      0      0 |        0        0      0      0      0 |        0        0      0      0      0
z16_Cn_FZn_M004002             |      566      566      0      0      0 |      566      566      0      0      0 |      566      566      0      0      0
z16_Cn_FZn_M004002_ZB          |       16        0     16     16      0 |       16        0     16     16      0 |       16        0     16     16      0
z16_Cn_FZn_M008001             |     1132     1132      0      0      0 |     1132     1132      0      0      0 |     1132     1132      0      0      0
z16_Cn_FZn_M008001_ZB          |       32        0     32     32      0 |       32        0     32     32      0 |       32        0     32     32      0
z16_Cn_FZn_M00c000             |     1840     1840      0      0      0 |     1840     1840      0      0      0 |     1840     1840      0      0      0
z16_Cn_FZn_M00c000_ZB          |       32        0     32     32      0 |       32        0     32     32      0 |       32        0     32     32      0
z16_Cn_FZn_M00ffff             |    42966    42957      9      9      0 |    42966    42957      9      9      0 |    42966    42957      9      9      0
z16_Cn_FZn_M00ffff_ZB          |     2840      456   2384   2384      0 |     2840      456   2384   2384      0 |     2840      456   2384   2384      0
z16_Cy_FZn_M000003             |        3        3      0      0      0 |        3        3      0      0      0 |        3        3      0      0      0
z16_Cy_FZn_M000003_ZB          |        0        0      0      0      0 |        0        0      0      0      0 |        0        0      0      0      0
z16_Cy_FZn_M004002             |      566      566      0      0      0 |      566      566      0      0      0 |      566      566      0      0      0
z16_Cy_FZn_M004002_ZB          |       16        0     16     16      0 |       16        0     16     16      0 |       16        0     16     16      0
z16_Cy_FZn_M008001             |     1132     1132      0      0      0 |     1132     1132      0      0      0 |     1132     1132      0      0      0
z16_Cy_FZn_M008001_ZB          |       32        0     32     32      0 |       32        0     32     32      0 |       32        0     32     32      0
z16_Cy_FZn_M00c000             |     1840     1840      0      0      0 |     1840     1840      0      0      0 |     1840     1840      0      0      0
z16_Cy_FZn_M00c000_ZB          |       32        0     32     32      0 |       32        0     32     32      0 |       32        0     32     32      0
z16_Cy_FZn_M00ffff             |    42966    42957      9      9      0 |    42966    42957      9      9      0 |    42966    42957      9      9      0
z16_Cy_FZn_M00ffff_ZB          |     2840      456   2384   2384      0 |     2840      456   2384   2384      0 |     2840      456   2384   2384      0
z24_Cn_FZn_M000003             |       24        0     24     24      0 |       24        0     24     24      0 |       24        0     24     24      0
z24_Cn_FZn_M000003_ZB          |       24        0     24     24      0 |       24        0     24     24      0 |       24        0     24     24      0
z24_Cn_FZn_M400002             |      566      566      0      0      0 |      566      566      0      0      0 |      566      566      0      0      0
z24_Cn_FZn_M400002_ZB          |     1506      145   1506   1361      0 |     1506      145   1506   1361      0 |     1506      145   1506   1361      0
z24_Cn_FZn_M800001             |     1132     1132      0      0      0 |     1132     1132      0      0      0 |     1132     1132      0      0      0
z24_Cn_FZn_M800001_ZB          |     2868      568   2884   2316     16 |     2868      568   2884   2316     16 |     2868      568   2884   2316     16
z24_Cn_FZn_Mc00000             |     1840     1840      0      0      0 |     1840     1840      0      0      0 |     1840     1840      0      0      0
z24_Cn_FZn_Mc00000_ZB          |     4834     1037   4824   3882     85 |     4834     1037   4824   3882     85 |     4834     1037   4824   3882     85
z24_Cn_FZn_Mffffff             |    43005    43004      1      1      0 |    43005    43004      1      1      0 |    43005    43004      1      1      0
z24_Cn_FZn_Mffffff_ZB          |   144566    53852 144071  91023    309 |   144566    53852 144071  91023    309 |   144566    53852 144071  91023    309
z24_Cy_FZn_M000003             |       24        0     24     24      0 |       24        0     24     24      0 |       24        0     24     24      0
z24_Cy_FZn_M000003_ZB          |       24        0     24     24      0 |       24        0     24     24      0 |       24        0     24     24      0
z24_Cy_FZn_M400002             |      566      566      0      0      0 |      566      566      0      0      0 |      566      566      0      0      0
z24_Cy_FZn_M400002_ZB          |     1506      145   1506   1361      0 |     1506      145   1506   1361      0 |     1506      145   1506   1361      0
z24_Cy_FZn_M800001             |     1132     1132      0      0      0 |     1132     1132      0      0      0 |     1132     1132      0      0      0
z24_Cy_FZn_M800001_ZB          |     2868      568   2884   2316     16 |     2868      568   2884   2316     16 |     2868      568   2884   2316     16
z24_Cy_FZn_Mc00000             |     1840     1840      0      0      0 |     1840     1840      0      0      0 |     1840     1840      0      0      0
z24_Cy_FZn_Mc00000_ZB          |     4834     1037   4824   3882     85 |     4834     1037   4824   3882     85 |     4834     1037   4824   3882     85
z24_Cy_FZn_Mffffff             |    43005    43004      1      1      0 |    43005    43004      1      1      0 |    43005    43004      1      1      0
z24_Cy_FZn_Mffffff_ZB          |   144566    53852 144071  91023    309 |   144566    53852 144071  91023    309 |   144566    53852 144071  91023    309
